Inquiry_ID,Date,Channel,Category,Department,Root_Cause,Urgency,Response_Hours,Resolution_Hours,Status,CSAT,Repeat_Contact,Current_State_Misrouted,Inquiry_Text
GGU-SIM-00001,13-09-2025,myGGU/Portal,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Financial aid documentation,High,5.9,27.3,Resolved,4,0,0,I submitted financial aid documents and want to know if anything else is needed tomorrow.
GGU-SIM-00002,18-10-2025,Email,IT / Course Access,IT Help Desk,Brightspace/course access,Normal,4.7,26.3,Resolved,5,0,0,I enrolled in my class but I still cannot access the course in Brightspace and it starts tomorrow.
GGU-SIM-00003,21-11-2025,Web Chat,Career Services,Career Services,Networking/event question,Normal,4.3,32.8,Resolved,4,1,1,I am looking for employer and job-search resources available to students.
GGU-SIM-00004,23-09-2025,Web Chat,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Scholarship/aid status,Medium,0.9,42.6,Resolved,3,0,0,My account shows a balance and I need to understand whether my aid has been applied.
GGU-SIM-00005,27-08-2026,Email,Academic Advising,Academic Advising,Degree plan clarification,Normal,3.3,9.3,Resolved,4,0,0,I am considering changing my concentration and want to understand how it affects my degree plan.
GGU-SIM-00006,23-11-2025,myGGU/Portal,International Student Support,International Student Support,CPT/OPT information,Normal,2.3,30.3,Resolved,4,1,0,I need guidance on where to ask about CPT or OPT information.
GGU-SIM-00007,25-04-2026,Email,Registration / Records,Registrar's Office,Enrollment verification,Normal,4,20.2,Resolved,4,0,1,There is a hold on my registration and I am not sure what I need to do.
GGU-SIM-00008,18-12-2025,Email,Registration / Records,Registrar's Office,Course availability,Medium,2.1,19.1,Resolved,4,0,0,There is a hold on my registration and I am not sure what I need to do.
GGU-SIM-00009,13-01-2026,Web Chat,Academic Advising,Academic Advising,Graduation planning,Normal,8.1,11,Resolved,5,0,0,I am confused about a degree requirement and need advising support.
GGU-SIM-00010,21-11-2025,Phone (logged),IT / Course Access,IT Help Desk,Password reset,Normal,6.3,13.7,Resolved,3,0,0,I enrolled in my class but I still cannot access the course in Brightspace and it starts before the deadline.
GGU-SIM-00011,29-10-2025,Web Chat,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Tuition deadline,High,2.9,51.2,Resolved,4,0,0,I have a tuition payment question before the upcoming deadline.
GGU-SIM-00012,15-05-2026,myGGU/Portal,Registration / Records,Registrar's Office,Prerequisite/registration hold,Medium,3.8,34.4,Resolved,5,0,0,I need help adding a course before the deadline before the deadline. Which office should handle this?
GGU-SIM-00013,30-05-2026,Email,Academic Advising,Academic Advising,Degree plan clarification,Medium,2.8,20.2,Resolved,4,0,0,Can someone review my path to completion before I register for the next term?
GGU-SIM-00014,18-06-2026,Phone (logged),Registration / Records,Registrar's Office,Add/drop deadline question,Normal,5.6,49.8,Resolved,4,1,0,I requested my transcript and need to know the correct process and status.
GGU-SIM-00015,29-05-2026,myGGU/Portal,IT / Course Access,IT Help Desk,Account provisioning delay,Normal,5.3,40,Resolved,4,0,0,My myGGU login is not working and I need to check my registration soon.
GGU-SIM-00016,23-05-2026,Email,Registration / Records,Registrar's Office,Enrollment verification,Medium,13.4,141.1,Resolved,3,1,0,There is a hold on my registration and I am not sure what I need to do.
GGU-SIM-00017,27-12-2025,Email,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Billing balance question,High,4.4,23.3,Resolved,4,0,0,I have a tuition payment question before the upcoming deadline.
GGU-SIM-00018,20-06-2026,Email,Accessibility / Other Support,Student Services / Accessible Education,Temporary accommodation,Normal,9.4,21.2,Resolved,5,1,0,I am looking for tutoring support and I am not sure where to start.
GGU-SIM-00019,28-09-2025,Email,Academic Advising,Academic Advising,Degree plan clarification,Normal,3.6,18.4,Resolved,5,0,0,I am confused about a degree requirement and need advising support.
GGU-SIM-00020,25-04-2026,Email,IT / Course Access,IT Help Desk,Brightspace/course access,Normal,7.1,50,Resolved,4,0,0,The course is showing on my schedule but not in the online classroom.
GGU-SIM-00021,31-12-2025,Email,IT / Course Access,IT Help Desk,Brightspace/course access,Normal,3.2,16.8,Resolved,4,0,1,The course is showing on my schedule but not in the online classroom.
GGU-SIM-00022,21-04-2026,myGGU/Portal,Career Services,Career Services,Employer/job resource,Medium,5.9,6.7,Resolved,4,0,0,I need help finding the correct career platform or event information.
GGU-SIM-00023,27-06-2026,Email,IT / Course Access,IT Help Desk,Password reset,High,2.4,11.4,Resolved,5,0,1,My myGGU login is not working and I need to check my registration before the deadline.
GGU-SIM-00024,26-03-2026,Email,Career Services,Career Services,Resume/interview support,Medium,5.6,24.7,Resolved,3,0,0,How can I schedule a career advising appointment?
GGU-SIM-00025,09-08-2026,Email,Registration / Records,Registrar's Office,Transcript/record request,Normal,6.7,92.7,Resolved,4,1,0,I need an enrollment verification document for an external requirement.
GGU-SIM-00026,16-06-2026,Email,Academic Advising,Academic Advising,Degree plan clarification,Medium,6.9,35.2,Resolved,4,1,0,I am considering changing my concentration and want to understand how it affects my degree plan.
GGU-SIM-00027,06-06-2026,Email,Academic Advising,Academic Advising,Policy/requirement clarification,Normal,14.6,51.7,Resolved,5,1,0,I want to confirm which courses I still need for graduation and what I should take next term.
GGU-SIM-00028,11-06-2026,myGGU/Portal,Career Services,Career Services,Career appointment,Normal,1.8,10.9,Resolved,4,0,0,I am looking for employer and job-search resources available to students.
GGU-SIM-00029,27-09-2025,Email,Career Services,Career Services,Resume/interview support,High,1.5,13.8,Resolved,3,1,0,I am looking for employer and job-search resources available to students.
GGU-SIM-00030,28-08-2026,Email,Academic Advising,Academic Advising,Concentration change,Normal,7.4,39.6,Resolved,4,1,1,I want to confirm which courses I still need for graduation and what I should take next term.
GGU-SIM-00031,09-04-2026,myGGU/Portal,Academic Advising,Academic Advising,Course selection,Normal,3.7,20.9,Resolved,5,1,0,Can someone review my path to completion before I register for the next term?
GGU-SIM-00032,01-03-2026,Email,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Tuition deadline,Medium,2.1,59.7,Resolved,5,0,0,I submitted financial aid documents and want to know if anything else is needed soon.
GGU-SIM-00033,18-02-2026,myGGU/Portal,IT / Course Access,IT Help Desk,Password reset,High,3.7,33.9,Resolved,4,0,1,I reset my password but I still cannot get into the student portal.
